code,best_avg_profit,trading_times,best_winrate,best_gross_revenue,best_revenue_slow,best_revenue_fast
0,0.0,0,0.0,0.0,0,0
sh.000001,1.88,29,0.828,0.597,20,67
sh.000300,2.47,28,0.714,0.861,22,67
sh.600000,4.828,20,0.8,1.098,15,162
sh.600009,0.594,425,0.666,8.431,2,4
sh.600010,6.148,26,0.846,2.127,5,232
sh.600011,0.283,425,0.607,1.515,2,4
sh.600015,0.786,155,0.677,1.75,4,12
sh.600016,2.284,35,0.829,0.861,4,134
sh.600018,2.138,49,0.673,1.071,19,38
sh.600019,0.324,329,0.647,1.068,2,5
sh.600025,3.79,10,0.8,0.427,17,40
sh.600028,1.813,33,0.697,0.42,20,62
sh.600029,1.828,49,0.653,0.798,16,33
sh.600030,4.501,35,0.829,2.662,23,64
sh.600031,0.563,206,0.68,0.912,2,10
sh.600036,0.757,280,0.696,5.79,2,7
sh.600048,1.253,189,0.635,5.777,3,10
sh.600050,0.532,270,0.637,1.936,2,7
sh.600061,7.018,28,0.821,2.958,25,67
sh.600079,1.529,232,0.69,23.952,4,8
